[08:23:01] [phase1] starting, 23 sources (heap=427MB sys=460MB)
[08:33:06] [phase1]   opus-dochplt: 16204 docs, 200251 sentences in this source - flushing to scratch (heap=4376MB sys=5863MB)
[08:33:21] [phase1]   opus-dochplt: 16775 docs, 200205 sentences in this source - flushing to scratch (heap=4192MB sys=5937MB)
[08:33:38] [phase1]   opus-dochplt: 17324 docs, 200348 sentences in this source - flushing to scratch (heap=3998MB sys=5970MB)
[08:33:54] [phase1]   opus-dochplt: 17898 docs, 200117 sentences in this source - flushing to scratch (heap=3870MB sys=6051MB)
[08:34:09] [phase1]   opus-dochplt: 18472 docs, 200087 sentences in this source - flushing to scratch (heap=3687MB sys=6152MB)
[08:34:26] [phase1]   opus-dochplt: 19048 docs, 200089 sentences in this source - flushing to scratch (heap=3446MB sys=6222MB)
[08:34:42] [phase1]   opus-dochplt: 19623 docs, 200047 sentences in this source - flushing to scratch (heap=5914MB sys=6242MB)
[08:34:58] [phase1]   opus-dochplt: 20239 docs, 200232 sentences in this source - flushing to scratch (heap=5768MB sys=6263MB)
[08:35:15] [phase1]   opus-dochplt: 20825 docs, 200365 sentences in this source - flushing to scratch (heap=5626MB sys=6263MB)
[08:35:31] [phase1]   opus-dochplt: 21394 docs, 200036 sentences in this source - flushing to scratch (heap=5515MB sys=6263MB)
[08:35:47] [phase1]   opus-dochplt: 21988 docs, 200152 sentences in this source - flushing to scratch (heap=5377MB sys=6265MB)
[08:36:05] [phase1]   opus-dochplt: 22615 docs, 200293 sentences in this source - flushing to scratch (heap=5308MB sys=6374MB)
[08:36:22] [phase1]   opus-dochplt: 23199 docs, 200154 sentences in this source - flushing to scratch (heap=5152MB sys=6375MB)
[08:36:39] [phase1]   opus-dochplt: 23784 docs, 200064 sentences in this source - flushing to scratch (heap=4889MB sys=6383MB)
[08:36:56] [phase1]   opus-dochplt: 24397 docs, 200197 sentences in this source - flushing to scratch (heap=4580MB sys=6504MB)
[08:37:15] [phase1]   opus-dochplt: 24987 docs, 200102 sentences in this source - flushing to scratch (heap=4274MB sys=6610MB)
[08:37:33] [phase1]   opus-dochplt: 25566 docs, 200035 sentences in this source - flushing to scratch (heap=3882MB sys=6723MB)
[08:37:50] [phase1]   opus-dochplt: 26145 docs, 200135 sentences in this source - flushing to scratch (heap=6440MB sys=6741MB)
[08:38:08] [phase1]   opus-dochplt: 26726 docs, 200184 sentences in this source - flushing to scratch (heap=6005MB sys=6745MB)
[08:38:26] [phase1]   opus-dochplt: 27299 docs, 200064 sentences in this source - flushing to scratch (heap=5533MB sys=6776MB)
[08:38:45] [phase1]   opus-dochplt: 27863 docs, 200086 sentences in this source - flushing to scratch (heap=4996MB sys=6873MB)
[08:39:03] [phase1]   opus-dochplt: 28433 docs, 200256 sentences in this source - flushing to scratch (heap=4433MB sys=7002MB)
[08:39:22] [phase1]   opus-dochplt: 28979 docs, 200306 sentences in this source - flushing to scratch (heap=3791MB sys=7152MB)
[08:39:40] [phase1]   opus-dochplt: 29546 docs, 200195 sentences in this source - flushing to scratch (heap=6311MB sys=7168MB)
[08:39:58] [phase1]   opus-dochplt: 30100 docs, 200059 sentences in this source - flushing to scratch (heap=5625MB sys=7288MB)
[08:40:17] [phase1]   opus-dochplt: 30665 docs, 200179 sentences in this source - flushing to scratch (heap=4934MB sys=7289MB)
[08:40:36] [phase1]   opus-dochplt: 31261 docs, 200330 sentences in this source - flushing to scratch (heap=4284MB sys=7393MB)
[08:40:54] [phase1]   opus-dochplt: 31847 docs, 200228 sentences in this source - flushing to scratch (heap=6816MB sys=7393MB)
[08:41:15] [phase1]   opus-dochplt: 32445 docs, 200103 sentences in this source - flushing to scratch (heap=6201MB sys=7581MB)
[08:41:35] [phase1]   opus-dochplt: 33051 docs, 200055 sentences in this source - flushing to scratch (heap=5494MB sys=7581MB)
[08:41:56] [phase1]   opus-dochplt: 33593 docs, 200200 sentences in this source - flushing to scratch (heap=4694MB sys=7646MB)
[08:42:15] [phase1]   opus-dochplt: 34152 docs, 200205 sentences in this source - flushing to scratch (heap=7274MB sys=7662MB)
[08:42:34] [phase1]   opus-dochplt: 34744 docs, 200132 sentences in this source - flushing to scratch (heap=6421MB sys=7662MB)
[08:42:54] [phase1]   opus-dochplt: 35371 docs, 200351 sentences in this source - flushing to scratch (heap=5871MB sys=7663MB)
[08:43:14] [phase1]   opus-dochplt: 35984 docs, 200086 sentences in this source - flushing to scratch (heap=5211MB sys=7804MB)
[08:43:33] [phase1]   opus-dochplt: 36566 docs, 200339 sentences in this source - flushing to scratch (heap=4173MB sys=7926MB)
[08:43:53] [phase1]   opus-dochplt: 37126 docs, 200194 sentences in this source - flushing to scratch (heap=6633MB sys=7926MB)
[08:44:13] [phase1]   opus-dochplt: 37701 docs, 200208 sentences in this source - flushing to scratch (heap=5544MB sys=8049MB)
[08:44:34] [phase1]   opus-dochplt: 38260 docs, 200158 sentences in this source - flushing to scratch (heap=4461MB sys=8066MB)
[08:44:54] [phase1]   opus-dochplt: 38804 docs, 200322 sentences in this source - flushing to scratch (heap=6873MB sys=8066MB)
[08:45:14] [phase1]   opus-dochplt: 39372 docs, 200073 sentences in this source - flushing to scratch (heap=5679MB sys=8186MB)
[08:45:34] [phase1]   opus-dochplt: 39983 docs, 200194 sentences in this source - flushing to scratch (heap=4650MB sys=8186MB)
[08:45:58] [phase1]   opus-dochplt: 40728 docs, 200348 sentences in this source - flushing to scratch (heap=7682MB sys=8222MB)
[08:46:20] [phase1]   opus-dochplt: 41435 docs, 200030 sentences in this source - flushing to scratch (heap=6995MB sys=8242MB)
[08:46:41] [phase1]   opus-dochplt: 41999 docs, 200223 sentences in this source - flushing to scratch (heap=6057MB sys=8242MB)
[08:47:01] [phase1]   opus-dochplt: 42577 docs, 200121 sentences in this source - flushing to scratch (heap=4979MB sys=8315MB)
[08:47:20] [phase1]   opus-dochplt: 43150 docs, 200101 sentences in this source - flushing to scratch (heap=7419MB sys=8315MB)
[08:47:39] [phase1]   opus-dochplt: 43724 docs, 200114 sentences in this source - flushing to scratch (heap=6096MB sys=8439MB)
[08:47:59] [phase1]   opus-dochplt: 44302 docs, 200221 sentences in this source - flushing to scratch (heap=4924MB sys=8456MB)
[08:48:20] [phase1]   opus-dochplt: 44899 docs, 200033 sentences in this source - flushing to scratch (heap=7452MB sys=8476MB)
[08:48:40] [phase1]   opus-dochplt: 45497 docs, 200063 sentences in this source - flushing to scratch (heap=6199MB sys=8517MB)
[08:49:01] [phase1]   opus-dochplt: 46072 docs, 200177 sentences in this source - flushing to scratch (heap=4991MB sys=8521MB)
[08:49:20] [phase1]   opus-dochplt: 46630 docs, 200076 sentences in this source - flushing to scratch (heap=7449MB sys=8521MB)
[08:49:40] [phase1]   opus-dochplt: 47186 docs, 200242 sentences in this source - flushing to scratch (heap=6003MB sys=8628MB)
[08:50:00] [phase1]   opus-dochplt: 47748 docs, 200066 sentences in this source - flushing to scratch (heap=4674MB sys=8648MB)
[08:50:19] [phase1]   opus-dochplt: 48294 docs, 200276 sentences in this source - flushing to scratch (heap=7055MB sys=8648MB)
[08:50:39] [phase1]   opus-dochplt: 48849 docs, 200022 sentences in this source - flushing to scratch (heap=5507MB sys=8787MB)
[08:50:58] [phase1]   opus-dochplt: 49419 docs, 200387 sentences in this source - flushing to scratch (heap=7891MB sys=8787MB)
[08:51:20] [phase1]   opus-dochplt: 49997 docs, 200093 sentences in this source - flushing to scratch (heap=6420MB sys=8789MB)
[08:51:40] [phase1]   opus-dochplt: 50566 docs, 200163 sentences in this source - flushing to scratch (heap=5029MB sys=8821MB)
[08:52:00] [phase1]   opus-dochplt: 51121 docs, 200349 sentences in this source - flushing to scratch (heap=7453MB sys=8821MB)
[08:52:20] [phase1]   opus-dochplt: 51673 docs, 200334 sentences in this source - flushing to scratch (heap=5744MB sys=8968MB)
[08:52:40] [phase1]   opus-dochplt: 52259 docs, 200065 sentences in this source - flushing to scratch (heap=8114MB sys=8968MB)
[08:53:00] [phase1]   opus-dochplt: 52888 docs, 200121 sentences in this source - flushing to scratch (heap=6620MB sys=8968MB)
[08:53:21] [phase1]   opus-dochplt: 53483 docs, 200022 sentences in this source - flushing to scratch (heap=5183MB sys=8996MB)
[08:53:41] [phase1]   opus-dochplt: 54075 docs, 200046 sentences in this source - flushing to scratch (heap=7625MB sys=8996MB)
[08:54:02] [phase1]   opus-dochplt: 54697 docs, 200090 sentences in this source - flushing to scratch (heap=6032MB sys=9079MB)
[08:54:35] [phase1]   opus-dochplt: 55320 docs, 200085 sentences in this source - flushing to scratch (heap=8470MB sys=9115MB)
[08:54:56] [phase1]   opus-dochplt: 55952 docs, 200093 sentences in this source - flushing to scratch (heap=7057MB sys=9115MB)
[08:55:18] [phase1]   opus-dochplt: 56643 docs, 200180 sentences in this source - flushing to scratch (heap=5977MB sys=9115MB)
[08:55:39] [phase1]   opus-dochplt: 57336 docs, 200387 sentences in this source - flushing to scratch (heap=8499MB sys=9115MB)
