lemma	form	morph_code
Torupilli	Torupilli	SgAdt
Torupilli	Torupilli	SgG
Torupilli	Torupilli	SgN
Torupilli	Torupilliga	SgKom
Torupilli	Torupilliks	SgTr
Torupilli	Torupillil	SgAd
Torupilli	Torupillile	SgAll
Torupilli	Torupillilt	SgAbl
Torupilli	Torupillina	SgEs
Torupilli	Torupillini	SgTer
Torupilli	Torupillis	SgIn
Torupilli	Torupillisse	SgIll
Torupilli	Torupillist	SgEl
Torupilli	Torupillit	SgP
Torupilli	Torupillita	SgAb
